"","Time","Appendicularians","Chaetognatha","Cirripedia","Echinodermata","Evadne spp.","Gastropoda","Hyperiidea","Penilia spp.","Plankton bio-volume","Salpa"
"1",1977,0,1.66610655880301,0,0,0,0,0.834632654196555,0,1.27803589343463,0
"2",1978,0,1.86456992625143,0,0,0,0,1.81324859085137,0,1.25227814912171,0
"3",1979,2.26178627042498,0.936643668862865,2.4025485115799,0,0,2.29741884540522,1.37018416341383,0,1.6057569702425,0
"4",1980,1.05734742913204,2.3972788977643,1.30363664193453,0,0,2.38788575619012,1.39692748247697,0,1.19772668480807,0
"5",1981,1.13979220570546,2.04326688447395,1.24873098976624,0,0,1.20681615356714,2.18785413369512,0,1.21125367569408,0
"6",1982,1.98992556159807,1.52176879379956,1.14949812872313,0,0,2.93470910111049,2.33284654308823,0,1.23201193408178,0
"7",1983,1.97909635934588,1.08126994191076,1.43216301276586,0.245964442354196,0,1.79287257767227,0.60496554319074,0,1.46833400627825,0
"8",1984,1.55445147107025,1.0142035183344,1.17693044072599,0,0,0.829113876381401,0,0,1.2450934446084,0
"9",1985,1.09907915322095,1.06444230075567,1.02467159437547,0.706464854359221,0,1.08043752186522,0.686630368239969,0,1.3872904061742,0
"10",1986,0.645311197295087,0.888974028274942,0.499157106547664,0,0,1.43143104572577,0.0123114293715978,0,1.23121020495158,0
"11",1987,2.51575268074683,0.848701568531333,1.73406391037411,1.57147705339954,0,1.49577441314938,0,0,1.51654750383678,0
"12",1988,1.42341761360295,1.43558116418135,1.11275529055379,0,0,0.934902318695579,0.494804831205776,0,1.1953758115732,0
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1992,2.72471811885788,1.48170252472411,1.10758164811629,0,0,3.36714005109728,1.37340728202585,0,1.43055901253982,0
"17",1993,3.00888250336124,1.98360349716758,1.94977927403419,1.08807268251175,0,1.79923634615875,1.38612957270653,0,1.28164511278024,0
"18",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1995,3.5212480019219,1.41023772833639,1.50802053016705,2.06169073806638,0,2.36097454208712,1.32586032614275,0,1.49878487965967,0
"20",1996,3.31444029735258,0.888223204879432,2.17784659899255,1.97400948903578,0,2.28108984393867,1.6220808923194,0,1.52233819348812,0
"21",1997,2.00963584748612,1.46777217748761,1.77559529908792,0,0.546594200305266,2.54309939883343,1.95046205206853,0,1.32450825707253,0
"22",1998,3.71209321524073,1.31013520712663,1.3744264234541,2.52532531498015,0,2.45240625723383,1.17155318879472,0,1.46934903931275,0
"23",1999,1.23243961767131,2.79133768142379,1.38077991760839,0,0,2.64522237467744,1.71048961706381,0,1.47017803680065,0
"24",2000,2.78941473027032,1.91293335324006,1.67604064998058,2.18066562094102,0,1.97145456561051,1.40792156092261,0,1.49267542238226,0
"25",2001,3.36851594246596,2.76690839019499,1.86693097179433,3.16084996618652,0,3.36619293180557,1.57603447158129,0,1.70465067057588,0
"26",2002,1.69521063668647,1.56741901864246,0.744133564508933,0.84088779679335,0,1.55669107958904,0.827019744993333,0,1.29947313231957,0
"27",2003,1.96942295751855,1.09351942758723,1.04066018792202,0,0,1.03062891580942,0.401197883354631,0,1.78488894568782,0
"28",2004,1.93931806469085,1.46485526692134,1.28525601092123,2.13111386234941,0,1.16862609667018,0.741165281032553,0,1.70955150190878,0
"29",2005,2.11648126906754,1.12055786184873,0.96050164176533,1.04678153481643,0,0.782885724630724,0.494755102016378,0,1.32047431085162,0
"30",2006,2.25252570152247,1.28267384591246,0,0.00395293455907988,0,0.704597937106043,1.14407037408289,0,1.52984481819886,0
"31",2007,2.13712686501635,1.35751169677809,1.19846190346427,1.63234083747787,0,1.61797436433022,1.04668590210586,0,1.40259980561154,0
"32",2008,1.15720451329583,1.18530677959539,0.740763103749315,0.164790327325818,0,0.410934829816193,0.782697999550698,0,1.2516273330513,0
"33",2009,1.55008779934669,1.04570731331755,0.840326292469934,0,0,0.905727967760038,1.20340417351676,0,1.408303002548,0
"34",2010,2.24760356187056,1.04813430733836,1.2138026917107,1.1417891820147,0,0.700921619077611,0.767227938270634,0,1.27529003708385,0
"35",2011,2.00124502963206,1.23273872532943,0.8103665392251,0,0,1.39101965421549,0.564798718897984,0,1.08533631922479,0
"36",2012,1.39095744768729,1.27523775440796,0.186871472931134,0,0,2.64380751484462,1.00639624579151,0,1.16410491633486,0
"37",2013,1.65996361006521,2.75422049564992,1.62108182281595,0,0,2.00263839585416,1.58196729600329,0,1.17753096661873,0
"38",2014,1.8689441728504,1.79059234539491,1.10173943454194,1.09331746116968,0,0.990523026279186,0.74232339329132,0,1.03709123178409,0
"39",2015,4.17483646807164,1.75049848771333,3.01254584439392,2.88893186020064,0.41716215635073,1.85333592834319,0,0,1.61195120780116,0
"40",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2017,2.17255572684426,2.92968412482747,1.49574224918329,1.13710294649207,0,1.54166812445167,1.02579210702622,0,1.30421779481365,0
