"","x"
"1","3840"
"2","3088"
"3","3089"
"4","3900"
"5","3086"
"6","3903"
"7","3870"
"8","1390"
"9","1351"
"10","1380"
"11","3850"
"12","1360"
"13","1330"
"14","1340"
"15","3906"
"16","3905"
"17","3830"
"18","3800"
"19","3907"
"20","3810"
"21","1400"
"22","3770"
"23","3780"
"24","3740"
"25","3750"
"26","3908"
"27","3720"
"28","3710"
"29","1270"
"30","1370"
"31","1260"
"32","3909"
"33","1310"
"34","1280"
"35","3690"
"36","3680"
"37","3910"
"38","3660"
"39","3650"
"40","3630"
"41","3640"
"42","3911"
"43","1320"
"44","1290"
"45","3912"
"46","1300"
"47","1240"
"48","1220"
"49","1210"
"50","3913"
"51","3580"
"52","3610"
"53","3590"
"54","3600"
"55","1200"
"56","3560"
"57","3916"
"58","3917"
"59","1180"
"60","1170"
"61","1160"
"62","3914"
"63","1190"
"64","1230"
"65","1250"
"66","3921"
"67","3919"
"68","3510"
"69","3918"
"70","3550"
"71","3520"
"72","3920"
"73","3540"
"74","3480"
"75","3450"
"76","3460"
"77","1050"
"78","1090"
"79","1130"
"80","3010"
"81","3020"
"82","3030"
"83","1100"
"84","3040"
"85","3050"
"86","1060"
"87","3060"
"88","3070"
"89","3080"
"90","1140"
"91","1150"
"92","1010"
"93","3090"
"94","3100"
"95","3110"
"96","3120"
"97","3130"
"98","3140"
"99","1020"
"100","1070"
"101","1110"
"102","1120"
"103","3150"
"104","3160"
"105","3170"
"106","1080"
"107","1730"
"108","1030"
"109","1040"
"110","3180"
"111","3190"
"112","3200"
"113","1740"
"114","1750"
"115","3220"
"116","3230"
"117","1760"
"118","1690"
"119","3240"
"120","3250"
"121","3260"
"122","1700"
"123","1710"
"124","3270"
"125","3280"
"126","3290"
"127","1720"
"128","3300"
"129","3310"
"130","3320"
"131","1650"
"132","1660"
"133","1670"
"134","3330"
"135","1680"
"136","3340"
"137","3350"
"138","3360"
"139","3370"
"140","3380"
"141","3390"
"142","3400"
"143","3410"
"144","1610"
"145","1620"
"146","1630"
"147","1640"
"148","3420"
"149","3430"
"150","3440"
