group,SVSPP,Species,Stock,Season(s),Strata set
,1,Atlantic hagfish                 Myxine glutinosa,Unit,"Spring, Fall","offshore 3-4, 7-8, 11-12, 14-15, 21-40, 63-64, 67-68, 71-72, 75-76"
other,13,Smooth dogfish                      Mustelus canis,Unit,Fall,"Offshore 1-25, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46, 55"
MP,15,Spiny dogfish                 Squalus acanthias,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76"
JB add,22,Barndoor skate               Dipturus laevis,Unit,"Spring, Fall","Offshore 1-30, 34-40"
JB add,23,Winter skate                 Leucoraja ocellata,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76"
JB add,24,Clearnose skate                    Raja eglanteria,Unit,"Spring, Fall","Offshore 61-76; Inshore 17, 20, 23, 26, 29, 32, 35, 38, 41, 44"
MP,25,Rosette skate                Leucoraja garmani,Unit,"Spring, Fall",Offshore 61-76
JB add,26,Little skate                  Leucoraja erinacea,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46, 59-61, 64-65"
MP,27,Smooth skate             Malacoraja senta,Unit,"Spring, Fall","Offshore 1-30, 34-40"
JB add,28,Thorny skate              Amblyraja radiata,Unit,"Spring, Fall","Offshore 1-30, 34-40"
JB add,32,Atlantic herring                Clupea harengus,Unit,Spring,"Offshore 1-30, 36-40, 61-76"
,32,Atlantic herring                Clupea harengus,Unit,Fall,"Offshore 5-30, 36-40"
other,33,Alewife                             Alosa pseudoharengus,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-51, 53-57, 59-62, 64-88, 91-92"
other,34,Blueback herring                  Alosa aestivalis,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-51, 53-54, 56-57, 59-62, 64-88, 91-92"
MP,69,Offshore hake           Merluccius albidus,Unit,"Spring, Fall","Offshore 3-4, 7-8, 11-12, 14-15, 17-18, 63-64, 67-68, 71-72, 75-76"
MP,72,Silver hake                 Merluccius bilinearis,GOM/NGB,"Spring, Fall","Offshore 20-30, 36-40"
MP,72,Silver hake                 Merluccius bilinearis,SGB/MA,"Spring, Fall","Offshore 1-19, 61-76"
MP,73,Atlantic cod                      Gadus morhua,GB,"Spring, Fall",Offshore 13-25        
MP,73,Atlantic cod                      Gadus morhua,GOM,"Spring, Fall","Offshore 26-30, 36-40"
MP,74,Haddock               Melanogrammus aeglefinus,GB,"Spring, Fall","Offshore 13-25, 29-30"
MP,74,Haddock               Melanogrammus aeglefinus,GOM,"Spring, Fall","Offshore 26-28, 36-40"
JB add,75,Pollock                            Pollachius virens,Unit,"Spring, Fall","Offshore 13-30, 36-40"
JB add,76,White hake                 Urophycis tenuis,Unit,"Spring, Fall","Offshore 21-30, 36-40"
JB add,77,Red hake                      Urophycis chuss,GOM/NGB,"Spring, Fall","Offshore 20-30, 36-40"
JB add,77,Red hake                      Urophycis chuss,SGB/MA,"Spring, Fall","Offshore 1-19, 61-76 "
other,84,Cusk                                     Brosme brosme,Unit,"Spring, Fall","Offshore 17, 18, 22, 24, 26-30, 34, 350, 351, 36-38"
JB add,101,Atlantic halibut     Hippoglossus hippoglossus,Unit,"Spring, Fall","Offshore 13-30, 36-40"
JB add,102,American plaice Hippoglossoides platessoides,Unit,"Spring, Fall","Offshore 13-30, 36-40"
MP,103,Summer flounder                   Paralichthys dentatus,Unit,Spring,"Offshore 1-12, 61-76"
MP,103,Summer flounder Paralichthys dentatus,Unit,Fall,"Offshore 1, 5, 9, 61, 65, 69, 73; Inshore 1-61"
MP,105,Yellowtail flounder                                Limanda ferruginea,CC,Spring,"Offshore 25-27, 39-40; Inshore 56-57, 59-62, 64-66"
MP,105,Yellowtail flounder                                Limanda ferruginea,CC,Fall,"Offshore 25-26, 39-40; Inshore 56-57, 59-62, 64-66"
MP,105,Yellowtail flounder                                Limanda ferruginea,GB,"Spring, Fall",Offshore 13-21
MP,105,Yellowtail flounder                                Limanda ferruginea,SNE/MA,Spring,"Offshore 1-2, 5-6, 9-10, 69, 73-74"
MP,105,Yellowtail flounder                                Limanda ferruginea,SNE/MA,Fall,"Offshore 1-2, 5-6, 9-10"
