"","Time","Appendicularians","Chaetognatha","Cirripedia","Echinodermata","Evadne spp.","Gastropoda","Hyperiidea","Penilia spp.","Plankton bio-volume","Salpa"
"1",1977,0.674196582476624,2.71336337009728,0,0,0,0,1.66601961489571,0,1.50469682392175,0
"2",1978,0,2.90380551584698,0,0,0,0,1.85917856319908,0,1.49017587800349,0
"3",1979,2.09455176436831,2.85569662247299,0,0,0.634479905986796,1.94277355136881,1.3416489981428,0.0233127251877159,1.3824142051066,0
"4",1980,1.37185968305673,3.02396023082565,0,0.0476947530718192,0.378067113272718,1.5176817538604,1.58985992128061,0.336559272572526,1.53859297943937,2.53637301975994
"5",1981,1.59168699048303,2.94294795415577,0,0.289391663812168,0,1.91622955111626,1.69572671687848,0.000220595439442934,1.31069370483614,0
"6",1982,0.973883172971537,2.65787631375288,0,0,0,1.51778020793499,1.26208157650539,0,1.23935025162558,0.178478285547682
"7",1983,0.901500499770264,2.12833747370881,0,0,0,0.804259685690058,0.660897030601429,0.0170620139571648,1.15368913203268,0.164561916139409
"8",1984,1.21699981151511,1.82952488772253,0,0,0,1.15000868846609,0.696160201596011,0.0931513565384279,1.22513639343025,0.896312415405814
"9",1985,1.71541687499301,2.09296828001036,0,0.115690483587828,0,0.98593058338837,0.509317480519803,0.0417269147779554,1.34144111557593,0.804370984944126
"10",1986,1.54449072730882,2.61982718808414,0,0.823246560212443,0.447105848782129,1.349119787302,1.58120946839276,0,1.15281334957793,0.945962867553892
"11",1987,0.993987721265759,2.78618683284249,0,0.336379819638647,0,0.832584396080628,1.92610165206978,0,1.368550312128,0
"12",1988,0.228403027590172,2.46178229600999,0,0,0,0,1.22013334038049,0,1.48181085145308,1.39829003418536
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,1.20126896050856,2.95119168609426,0,0,0,1.51731782496094,2.35217100759713,0,1.46096453497846,0
"16",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1993,1.24098759335911,3.13802732579906,0,0,0,1.63294860953028,3.15092240750554,0,1.46917485843095,1.38669982278262
"18",1994,1.22739393302289,2.88927928641564,0,0.0508905534317388,0,2.11126887364136,2.79933254769268,0,1.67452392144505,0.265079621156304
"19",1995,1.90653035791596,2.88772716026915,0,0.193405318884887,0.585787352039001,1.11085464922303,1.9553638569425,-0.00842193750039426,1.25016138529804,0.677231112124837
"20",1996,1.12463645493044,2.03604447247052,0,0.132516373852406,0.837046769472149,1.97558040077769,2.14642924920066,0.0173459827301273,1.57388758354122,0.772630946826103
"21",1997,1.08253466276964,2.16180334410852,0,0.0643417538409561,0,1.63551845449642,2.84746170991204,0,1.5481221848104,1.84760052775551
"22",1998,1.680147783937,2.15023655945805,0,0.0647363651225893,0,2.3411759141785,1.83329394777211,0,1.46391714529529,0
"23",1999,1.39233395165133,3.17436029430766,0,0,0,1.40893333020381,3.10011902840112,0,1.41651740559743,0.870557418767325
"24",2000,1.31509354008067,3.23908568468799,0,0.465041345342507,1.77880397895644,2.53373137830853,1.87765089725994,0.370355547062382,1.43140244945986,1.09383206791923
"25",2001,1.24382219317697,3.07689970194444,0,0.576629611866491,0.121690158888425,0.672513064141629,2.96421624122654,0.124006950996388,1.35065741180895,0.606196753892219
"26",2002,1.35402170361985,2.34094597606588,0,0.18895839720492,0,0.775646764353439,2.01852659239723,0,1.34399472705366,0.696437654555468
"27",2003,1.94719346838237,2.82143064475067,0,0.406778231118623,0.261703026549353,1.02420223665767,2.95528927097791,0.0575436413963893,1.36441203957067,1.35697533778451
"28",2004,1.39856548610823,3.09506660491275,0,0,0,1.17512577718754,2.94055668150666,0,1.39068499974677,0
"29",2005,1.46226994244863,2.54908523862798,0,0.112712109163014,0,1.05880712792162,2.7486080484504,0,1.36465144273246,0
"30",2006,1.73259521508756,2.50853469042305,0,0.377757096925449,0,1.77220046922296,2.45969084140866,0,1.39221319367702,2.38713962830478
"31",2007,1.7901964006995,2.24149242892644,0,0.316049240118985,0,1.47472158117294,2.78505736857808,0,1.39538150157126,0.165901458799738
"32",2008,1.97040869109918,2.60583037775786,0,0.436874440491396,0.159438454470231,1.67238023882036,2.87276686069668,0.347509955998601,1.45630172812074,0.468956606326463
"33",2009,1.69743419872582,2.32737195753297,0,0.429920097207212,0,1.16062809814185,2.20098068711223,0.314852136855046,1.27720858322328,0.813159079085372
"34",2010,1.8886344865791,2.4870113980509,0,0.473411618700736,-0.0515289713921775,1.45158526366263,2.39823912266361,0.0931043600944641,1.19253771181796,0.436157536691443
"35",2011,1.29519830208759,2.40326230381786,0,0.178990457948543,0,1.81171701095433,2.4175579518963,-0.0581177402973167,1.22627039840787,0.301997432287089
"36",2012,2.43156550260864,2.88568998261356,0,0.190547805210859,0.0795063280070377,3.08365292958986,3.27176061001394,0.134505943221975,1.3532506470055,2.32448899157424
"37",2013,1.94323487734467,2.95500864456013,0,0.312567135519071,1.12511575988872,1.73371587716534,2.189667194955,0.0779558343714466,1.37792834158926,1.79341159349067
"38",2014,1.60878688607013,2.70333130118669,0,0.0515783394878686,0,2.6234860300043,3.08311552640039,0.510311630210909,1.40524638755776,1.62913940524761
"39",2015,2.37734928467807,3.0742078596809,0,0.545340964407988,0.336184141555874,2.07272751873958,3.11009050715842,0,1.45500682832201,1.25760990587631
"40",2016,3.2420771216347,2.70879748049307,0,0.348089703114695,0.247387427059642,2.66244053642334,2.74173004766203,1.43187324089609,1.38098620964062,3.67041273668446
