Year,CHL
1998,4.851355956
1999,5.246973636
2000,5.513209492
2001,3.716168186
2002,3.234483034
2003,6.21555261
2004,3.545245917
2005,12.2097963
2006,3.800638013
2007,5.258400632
2008,5.379812033
2009,2.705795965
2010,6.793032057
2011,8.865691416
2012,5.378810508
2013,3.691426312
2014,4.03710269
2015,2.870216579
2016,1.989957732
2017,3.602785112
2018,2.914489771
2019,8.120649614
