"","Time","Spring"
"1",1976,0.372790247678019
"2",1977,0.383452012383901
"3",1978,0.403695820433437
"4",1979,0.404152476780186
"5",1981,0.463719040247678
"6",1982,0.444183436532507
"7",1983,0.425487616099071
"8",1985,0.407209752321981
"9",1986,0.414218266253869
"10",1988,0.43015866873065
"11",1989,0.427840557275542
"12",1990,0.418328173374613
"13",1992,0.420855263157895
"14",1994,0.396818885448916
"15",1995,0.376048761609907
"16",1996,0.391501547987616
"17",1997,0.368653250773994
"18",1998,0.378897058823529
"19",1999,0.378262383900928
"20",2004,0.360224458204335
"21",2005,0.355197368421053
"22",2007,0.361687306501548
"23",2008,0.356602167182663
"24",2009,0.380998452012384
"25",2010,0.395727554179566
"26",2011,0.394237616099072
"27",2012,0.385027089783282
"28",2013,0.394318885448916
"29",2015,0.384802631578947
"30",2016,0.376122291021672
"31",2018,0.361927244582043
