"","Time","Spring"
"1",1976,0.130052759740263
"2",1977,0.124894480519479
"3",1978,0.12317775974026
"4",1979,0.121862824675326
"5",1980,0.0986404220779226
"6",1981,0.0987581168831152
"7",1982,0.121485389610389
"8",1983,0.123510551948052
"9",1984,0.124549512987013
"10",1985,0.126339285714287
"11",1987,0.126363636363637
"12",1988,0.125353084415585
"13",1989,0.125413961038961
"14",1990,0.118571428571429
"15",1992,0.102743506493509
"16",1993,0.103445616883113
"17",1994,0.104987824675327
"18",1995,0.107191558441559
"19",1996,0.105560064935067
"20",1997,0.0995292207792206
"21",1998,0.0945657467532466
"22",1999,0.0896469155844154
"23",2000,0.0888271103896104
"24",2001,0.0874391233766225
"25",2002,0.121209415584417
"26",2003,0.125385551948051
"27",2004,0.129849837662338
"28",2005,0.128011363636363
"29",2006,0.127264610389611
"30",2007,0.126225649350648
"31",2009,0.123705357142856
"32",2010,0.121948051948051
"33",2011,0.120823863636363
"34",2012,0.118969155844154
"35",2013,0.119598214285713
"36",2014,0.113461850649349
"37",2015,0.107820616883092
"38",2016,0.116412337662318
"39",2018,0.0933928571428545
