"","Time","Spring"
"1",1976,0.678602029312288
"2",1977,0.649272829763247
"3",1979,0.634718151071026
"4",1980,0.645
"5",1981,0.638810597519729
"6",1983,0.651730552423901
"7",1984,0.643094701240135
"8",1985,0.670073280721533
"9",1987,0.623162344983089
"10",1990,0.672023675310034
"11",1991,0.677519729425028
"12",1993,0.639994363021421
"13",1994,0.65891770011274
"14",1996,0.644577226606539
"15",1997,0.662204058624577
"16",2000,0.674047350620068
"17",2001,0.663979706877114
"18",2002,0.705665163472379
"19",2004,0.64673618940248
"20",2005,0.667435174746336
"21",2006,0.682762119503946
"22",2008,0.689267192784667
"23",2009,0.689588500563698
"24",2010,0.70674182638106
"25",2011,0.7178297632469
"26",2014,0.734092446448704
"27",2015,0.722113866967306
"28",2016,0.734870349492672
"29",2018,0.75087373167982
