"common_name","sci_name","cc_name","species_code","svspp","season","strat","stock"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1030","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1040","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1070","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1080","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1110","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1120","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1140","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1150","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1210","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1220","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1230","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1240","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1250","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1260","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1270","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1280","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1290","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1300","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1310","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1320","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1330","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1340","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1350","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1360","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1370","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1380","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1390","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1400","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1630","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1640","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1670","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1680","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1710","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1720","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1750","unit"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlhag",1,"both","1760","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1010","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1020","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1030","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1040","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1050","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1060","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1070","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1080","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1090","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1100","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1110","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1120","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1130","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1140","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1150","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1160","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1170","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1180","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1190","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1200","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1210","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1220","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1230","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1240","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1250","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1610","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1620","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1630","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1640","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1650","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1660","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1670","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1680","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1690","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1700","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1710","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1720","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1730","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1740","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1750","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","1760","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3020","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3050","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3080","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3110","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3140","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3170","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3200","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3230","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3260","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3290","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3320","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3350","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3380","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3410","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3440","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3450","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3460","unit"
"smooth dogfish","Mustelus canis","smooth-dogfish","smodog",13,"fall","3550","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1010","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1020","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1030","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1040","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1050","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1060","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1070","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1080","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1090","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1100","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1110","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1120","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1130","unit"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spidog",15,"both","1140","unit"
