"","Time","Fall"
"1",1976,0.0987329127234491
"2",1977,0.0932649842271294
"3",1978,0.095094637223975
"4",1979,0.0943322818086225
"5",1980,0.0901840168243955
"6",1982,0.0887749737118824
"7",1983,0.0987854889589906
"8",1985,0.103617245005257
"9",1986,0.103717139852787
"10",1988,0.102686645636172
"11",1989,0.102497371188223
"12",1990,0.100783385909569
"13",1992,0.091466876971609
"14",1993,0.089553101997897
"15",1994,0.0907939011566772
"16",1996,0.0847423764458465
"17",1997,0.0832124079915879
"18",1998,0.0784279705573079
"19",2000,0.0837066246056782
"20",2002,0.0996214511041008
"21",2003,0.100531019978969
"22",2006,0.101456361724501
"23",2007,0.100315457413249
"24",2009,0.102223974763407
"25",2010,0.0903680336487909
"26",2011,0.0812513144058884
"27",2013,0.0796687697160882
"28",2015,0.075825446898002
"29",2016,0.075788643533123
"30",2017,0.0749526813880126
"31",2018,0.0783701366982123
