"","Time","Spring"
"1",1977,0.150110410094637
"2",1978,0.145420609884333
"3",1979,0.143685594111461
"4",1980,0.138496319663512
"5",1981,0.138622502628812
"6",1982,0.145031545741325
"7",1983,0.148012618296529
"8",1984,0.149453207150368
"9",1986,0.140473186119873
"10",1989,0.132386961093585
"11",1990,0.135325972660357
"12",1992,0.130935856992639
"13",1994,0.128501577287066
"14",1995,0.132192429022082
"15",1997,0.13322818086225
"16",1999,0.132082018927444
"17",2000,0.129915878023134
"18",2001,0.135704521556257
"19",2002,0.14062039957939
"20",2003,0.13844374342797
"21",2004,0.136971608832807
"22",2005,0.133827549947423
"23",2006,0.136803364879075
"24",2008,0.140678233438486
"25",2010,0.138475289169296
"26",2011,0.135509989484753
"27",2013,0.134973711882229
"28",2015,0.12596214511041
"29",2016,0.128101997896951
