"","Time","Spring"
"1",1976,0.487714156898107
"2",1979,0.483435527502254
"3",1982,0.475342651036971
"4",1985,0.437750225428314
"5",1986,0.439035166816952
"6",1987,0.435067628494139
"7",1988,0.419431920649234
"8",1989,0.420608656447249
"9",1990,0.399021641118124
"10",1993,0.333733092876465
"11",1994,0.326451758340848
"12",1995,0.325459873760145
"13",1997,0.33238954012624
"14",1998,0.340581605049594
"15",2001,0.319752028854825
"16",2006,0.340027051397656
"17",2008,0.379355275022543
"18",2012,0.411262398557259
"19",2013,0.421266907123535
"20",2015,0.443773669972949
"21",2016,0.427736699729486
"22",2018,0.445216411181244
