"","Time","Spring"
"1",1976,0.375838283828383
"2",1978,0.31206600660066
"3",1979,0.299782178217822
"4",1980,0.321521452145215
"5",1981,0.320574257425742
"6",1982,0.318224422442244
"7",1983,0.308600660066007
"8",1984,0.311435643564356
"9",1985,0.332815181518152
"10",1986,0.327524752475247
"11",1988,0.301504950495049
"12",1989,0.306752475247525
"13",1990,0.321798679867987
"14",1992,0.311445544554456
"15",1993,0.315881188118812
"16",1994,0.30226402640264
"17",1995,0.369531353135313
"18",1997,0.38281188118812
"19",1998,0.374828382838284
"20",1999,0.380369636963696
"21",2000,0.396389438943897
"22",2002,0.432122112211221
"23",2004,0.427181518151814
"24",2005,0.428214521452147
"25",2006,0.430594059405942
"26",2007,0.43646204620462
"27",2008,0.444445544554455
"28",2010,0.465382838283829
"29",2011,0.472597359735973
"30",2012,0.49392409240924
"31",2013,0.492894389438944
"32",2014,0.48360396039604
"33",2016,0.449597359735974
"34",2017,0.478653465346535
"35",2018,0.466884488448845
