"","Time","Spring"
"1",1977,0.517440811724916
"2",1978,0.508844419391206
"3",1979,0.512587373167982
"4",1980,0.528731679819617
"5",1981,0.555851183765502
"6",1982,0.532023675310034
"7",1984,0.510360766629087
"8",1985,0.579334836527621
"9",1988,0.508680947012401
"10",1989,0.516724915445321
"11",1990,0.543720405862458
"12",1993,0.56967305524239
"13",1994,0.580591882750846
"14",1995,0.589611048478016
"15",1996,0.579351747463359
"16",1997,0.592863585118377
"17",1999,0.59130214205186
"18",2000,0.612023675310034
"19",2001,0.608404735062007
"20",2002,0.64325817361894
"21",2003,0.61152198421646
"22",2004,0.590372040586246
"23",2006,0.629515219842165
"24",2007,0.615174746335964
"25",2010,0.648105975197294
"26",2012,0.686172491544532
"27",2014,0.664464487034949
"28",2015,0.643827508455468
"29",2017,0.660366403607667
