"","Time","Spring"
"1",1976,0.207975557917109
"2",1978,0.222194473963868
"3",1979,0.22240701381509
"4",1980,0.225988310308183
"5",1981,0.227433581296493
"6",1982,0.227369819341126
"7",1983,0.206466524973432
"8",1984,0.20038788522848
"9",1985,0.198692879914984
"10",1986,0.20134962805526
"11",1988,0.201780021253985
"12",1989,0.207337938363443
"13",1990,0.194978746014878
"14",1992,0.200079702444208
"15",1993,0.185053134962805
"16",1994,0.175982996811902
"17",1995,0.173315621679065
"18",1997,0.178060573857599
"19",1998,0.180000000000001
"20",1999,0.179420828905419
"21",2000,0.170276301806588
"22",2002,0.1636609989373
"23",2004,0.162284803400638
"24",2005,0.16433581296493
"25",2006,0.15701381509033
"26",2007,0.161891604675876
"27",2008,0.162550478214666
"28",2010,0.159601487778958
"29",2011,0.155797024442083
"30",2012,0.155260361317748
"31",2013,0.158602550478214
"32",2014,0.189144527098831
"33",2016,0.164117959617429
"34",2017,0.159734325185972
"35",2018,0.168979808714134
