"","Time","Spring"
"1",1979,0.378593466424682
"2",1980,0.377876588021779
"3",1981,0.376134301270417
"4",1982,0.376206896551724
"5",1983,0.374083484573503
"6",1984,0.379255898366606
"7",1985,0.394156079854809
"8",1986,0.393647912885662
"9",1987,0.382713248638839
"10",1989,0.380843920145191
"11",1990,0.381860254083485
"12",1992,0.379128856624319
"13",1996,0.41437386569873
"14",1997,0.431179673321234
"15",1998,0.433230490018149
"16",2000,0.470744101633394
"17",2002,0.491143375680581
"18",2004,0.479255898366606
"19",2005,0.476470054446461
"20",2007,0.478094373865699
"21",2008,0.479845735027223
"22",2010,0.49551724137931
"23",2012,0.511088929219601
"24",2015,0.509110707803993
"25",2018,0.507722323049002
