"","Time","Acartia spp.","Calanus finmarchicus","Centropages hamatus","Centropages typicus","Metridia lucens","Oithona spp.","Pseudocalanus spp.","Temora longicornis"
"1",1977,1.03057754740945,2.45134995974517,1.35423951773408,4.25978463646279,1.5432015445656,1.53766512045692,2.63604504575658,1.03771584126662
"2",1978,1.74475332182256,3.09846848396897,1.53058327521476,4.63484509373123,1.97589039077665,1.60657152373125,3.07331028519246,1.21193748388106
"3",1979,2.55367351537533,3.06698943190368,1.29734518890577,3.95587722850413,3.31672698805112,1.22407534931156,2.42405846914985,1.49797615021484
"4",1980,1.79179294148235,2.12503458336634,0,4.22222332860016,2.12882521509132,1.16416880890908,1.23660252351978,2.11823445205734
"5",1981,2.1296942034066,2.30897079477619,1.21100588064889,3.71459178500582,2.04301985348712,1.06135208490424,2.10617217898192,1.13121732691779
"6",1982,1.75136479571446,2.45053377906969,1.45257405166131,4.00026727020808,1.59622153696983,1.45328503782755,2.18168231577468,1.53812096495559
"7",1983,2.17379714929437,2.17628513169657,1.1017098805213,4.14007246030537,1.45135984325394,1.24118528328316,1.84387638843828,1.10422985511538
"8",1984,2.13149759874048,2.3689550437322,0.967314279148186,4.20646350477258,1.60734336439289,1.21586320267687,1.6002943560601,1.05290787238351
"9",1985,2.51409534193175,2.7303315012041,1.20405357096393,3.94210431208736,1.12604207255236,1.58345415587234,1.84619951633583,1.1937472649977
"10",1986,2.53533922364713,3.08072516016343,1.21222003433351,3.65179331906235,1.34227221026621,2.05547331672344,2.00146875144864,1.09847561051076
"11",1987,2.18081509765745,3.44063530016272,1.22933930507733,3.78498406256175,2.11638655859442,1.67508510643497,2.01939018401178,0.54659009970045
"12",1988,2.77575682321805,3.52864869479833,0.919454717788507,3.88511069466009,1.93398274493118,1.89197055567293,2.77473835249801,0.604189985851735
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,0.957716267027032,2.8837088124176,1.09153102912709,3.95010028094545,2.26530729079687,2.94082580267899,2.39710624766637,0.789528635177395
"16",1992,NA,NA,NA,NA,NA,NA,NA,NA
"17",1993,1.66651065584059,2.85929352362629,1.32688817655045,4.30643794498708,3.34100525313269,3.14621130049185,2.92309624239749,2.11780165166848
"18",1994,1.32995659442382,2.49708251374716,1.23206795215378,4.36548136377025,1.65026760169677,3.08615947734423,1.44224755052562,1.2000213709055
"19",1995,1.43101117409911,1.88953173506238,1.06135298079806,3.92338710202169,1.19279647979146,1.93975742580421,0.584395415244233,0.816697510884473
"20",1996,0,2.27170370846048,1.89316346178613,4.55509978416206,2.62082539961502,3.11192516532345,1.93941476613083,1.80591775144641
"21",1997,0,2.95388787769957,1.16641671048585,4.28730433737068,2.20554043525067,3.36876597086168,1.27265644787522,1.26003019872658
"22",1998,1.06878774229728,2.94539425139172,1.55245212476655,4.53606100373951,3.43730840954321,3.31948661959753,2.80714768419418,1.53528297283497
"23",1999,2.02348471376457,1.26048328227904,0.942553823243993,3.98347888669662,1.34039828513167,3.0502859731813,0.527551988752218,0
"24",2000,1.66847204374467,1.73996948499412,1.09480608411479,4.47481545486241,2.06836026964905,3.43063248300431,0.908675142695674,1.19283215108986
"25",2001,1.84538822146951,3.10291337536417,0.969818998763981,3.72216057460116,1.82327917867306,3.16987281549788,1.37694087615443,0.713645797435762
"26",2002,1.96677865192716,2.5629714550429,0.852079582883395,3.83034850614363,1.24533757769205,2.48259401038496,0.671697902957883,0
"27",2003,1.71880699287017,3.51351439075199,0.92481057967109,3.67540700138767,1.51245389646644,2.06700467841502,1.17812575790043,1.00957374774578
"28",2004,1.14899734988111,3.40737627301372,1.06566825201966,3.38655452705122,1.52007527231134,2.06476193942151,1.57298748056866,0
"29",2005,1.42033819711353,3.27627303462245,1.00581006396229,3.22870555846725,1.51478842104802,2.3265756659254,1.06747892349214,0
"30",2006,1.61665514861312,2.32104459235061,0,4.04807896414356,1.59325935191562,3.23562792741431,1.22674836214151,0.8479568767111
"31",2007,1.45403812422838,2.97607227251908,0.821404601016719,3.69345374838696,1.39678572935278,2.08920793051499,1.52234653800111,0.627484944982503
"32",2008,1.42097136455218,2.31717778416775,0.929873035317373,4.02081038015959,1.75428088621054,2.44434169568004,1.3467678648154,1.15613008911727
"33",2009,1.54824633366459,2.50157698478726,0.933989732494966,3.93611004498735,1.38808761632111,2.06041965181435,1.2057298593298,0
"34",2010,1.51472431153792,1.9875114827047,0.853595675897118,4.04786289810616,1.78180579176758,2.72606983454259,1.33846226151394,0
"35",2011,1.28315058235439,2.38237390004612,0.0209402093581785,4.14208567646008,1.40265531228444,2.27070835099738,0.931620113274654,0
"36",2012,1.60305526102867,2.1560103836908,0,3.92116829167278,1.38584541509341,3.11948196934493,0.656675654549851,0.476107516349902
"37",2013,1.74837280403288,2.44874884709365,0.758737019649551,4.10507971282632,1.46952449799914,3.24405409751661,1.37528013815706,0.925365942919423
"38",2014,1.70875746277229,1.66047849025751,0,3.95113447026707,1.34348529352933,3.15719899392078,0.960099048619996,1.02077460136441
"39",2015,2.29392910246761,1.68157318962392,0.917403755870293,3.74413083463774,1.37849633172862,3.26937659299773,1.5567124960822,1.24363785892377
"40",2016,1.3855143497415,1.35867651771762,0.6009156361912,3.62028808467481,1.26718802158949,3.18586666877528,1.19100506146261,0.73102634013319
"41",2017,1.82105791217257,1.20237725105959,0.522080374419857,3.91060058624268,1.45517901166896,3.1925984016791,1.46832248188816,0.57960123368653
