"","Time","Spring"
"1",1977,0.3725
"2",1978,0.37522693452381
"3",1979,0.372291666666667
"4",1980,0.371808035714286
"5",1981,0.372087053571429
"6",1982,0.358296130952381
"7",1984,0.346056547619048
"8",1985,0.371223958333333
"9",1988,0.342671130952381
"10",1989,0.346677827380952
"11",1990,0.336350446428571
"12",1993,0.326826636904762
"13",1994,0.324806547619048
"14",1995,0.334613095238095
"15",1996,0.333504464285714
"16",1997,0.339505208333333
"17",1999,0.341994047619048
"18",2000,0.353214285714286
"19",2001,0.354661458333334
"20",2002,0.375066964285714
"21",2003,0.373567708333333
"22",2004,0.360379464285714
"23",2006,0.371994047619048
"24",2007,0.373764880952381
"25",2010,0.415297619047619
"26",2012,0.434828869047619
"27",2014,0.451376488095238
"28",2015,0.43405505952381
"29",2017,0.427466517857143
