"","Time","Appendicularians","Chaetognatha","Cirripedia","Echinodermata","Evadne spp.","Gastropoda","Hyperiidea","Penilia spp.","Plankton bio-volume","Salpa"
"1",1977,0.941961721357445,2.82353469339774,0,0,0,0,2.18400199696046,0,1.44213770103359,0
"2",1978,0,2.96906979442434,0,0,0,0,2.14576799434575,0,1.62447816084678,0
"3",1979,1.81972087284819,3.02815799935972,0,0,0.785714994413471,1.98666454255886,2.49490130098921,1.62010972943628,1.50034297774131,0
"4",1980,2.02883334474572,3.07124371851023,0,1.81657078009488,0.53261860739281,2.59341467509706,2.15656369205238,2.68125144153257,1.634685767177,2.11103643174416
"5",1981,1.70308567091207,3.43014732064063,0,2.37198034574515,0,2.05293175636569,2.04194460061636,1.88247751571887,1.57200059108513,0
"6",1982,1.94565649948573,2.41938330202157,0,0,0,1.69065200632892,1.36115737034275,0,1.5385941926869,2.55195846001586
"7",1983,1.5377568624994,2.49941378025443,0,0,0,2.12681471549054,1.43109465912225,1.20320951220834,1.4821379452512,1.43662920991189
"8",1984,2.0901724774647,2.18196646010742,0,0,0,1.25025541879179,1.45514623272474,1.09320720074193,1.51608259085782,2.53667695826398
"9",1985,3.11904245163677,3.11507759766131,0,1.77577025175483,0,1.994660434735,1.63952161995964,1.77829197244653,1.51475867878633,2.31043850587477
"10",1986,2.351780886875,3.2422759753779,0,3.2651992548437,1.00183228885666,1.67161381153742,1.9119429817731,0,1.39162871048959,1.11173681511273
"11",1987,1.33270733846989,3.19276440068398,0,1.18526530787656,0,2.1356561658211,2.8384394071141,0,1.49437925467098,0
"12",1988,1.58416025328056,3.16747839912552,0,0,0,0,2.50147284134105,0,1.58466001043941,1.99060574147499
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,2.46209645686845,3.05248484913585,0,0,0,1.92729226912089,2.90910169665036,0,1.52754853830568,0
"16",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1993,2.1385805440196,3.29849929097534,0,0,0,2.20485919641773,3.12275546126534,0,1.52560805698802,2.24692282926382
"18",1994,2.76118881313745,3.23059670647133,0,2.00925289503625,0,2.41448424245573,3.01095933136432,0,1.75869460021752,1.84470888633091
"19",1995,2.57703324555988,3.02231831767263,0,1.52359584165906,0.920971620993944,2.43154606178423,2.11749652379711,1.81904737509499,1.32937515209629,1.59265032760763
