"","Time","Spring"
"1",1976,0.438992647058823
"2",1977,0.463389705882352
"3",1978,0.466669117647058
"4",1979,0.4775
"5",1980,0.486249999999999
"6",1981,0.483455882352942
"7",1982,0.483779411764706
"8",1983,0.462830882352941
"9",1984,0.434713235294118
"10",1985,0.428154411764706
"11",1986,0.431514705882354
"12",1987,0.441433823529412
"13",1988,0.435176470588234
"14",1989,0.427132352941176
"15",1990,0.404441176470588
"16",1991,0.396
"17",1992,0.403227941176471
"18",1993,0.370919117647059
"19",1994,0.385654411764706
"20",1995,0.381676470588235
"21",1996,0.387566176470589
"22",1997,0.366617647058824
"23",1998,0.377102941176471
"24",1999,0.360779411764707
"25",2000,0.339544117647059
"26",2001,0.340051470588235
"27",2002,0.319838235294117
"28",2003,0.350838235294118
"29",2004,0.348566176470588
"30",2005,0.35577205882353
"31",2006,0.350705882352941
"32",2007,0.363154411764706
"33",2008,0.362198529411765
"34",2009,0.380786764705883
"35",2010,0.371860294117647
"36",2011,0.375514705882352
"37",2012,0.362897058823529
"38",2013,0.360970588235294
"39",2014,0.358551470588236
"40",2015,0.349985294117647
"41",2016,0.335705882352941
"42",2017,0.342948529411765
"43",2018,0.325095588235294
