"common_name","sci_name","cc_name","stock_name","species_code","svspp","stock_season","strata"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1250"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1610"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1620"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1630"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1640"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1650"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1660"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1670"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1680"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1690"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1700"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1710"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1720"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1730"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1740"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1750"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","1760"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3020"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3050"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3080"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3110"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3140"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3170"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3200"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3230"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3260"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3290"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3320"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3350"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3380"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3410"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3440"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3450"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3460"
"smooth dogfish","Mustelus canis","smooth-dogfish","smooth-dogfish","smodog",13,"fall","3550"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1010"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1020"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1030"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1040"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1050"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1060"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1070"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1080"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1090"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1100"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1110"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1120"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1130"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1140"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1150"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1160"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1170"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1180"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1190"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1200"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1210"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1220"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1230"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1240"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1250"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1260"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1270"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1280"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1290"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1300"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1340"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1350"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1360"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1370"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1380"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1390"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1400"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1610"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1620"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1630"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1640"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1650"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1660"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1670"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1680"
"spiny dogfish","Squalus acanthias","spiny-dogfish","spiny-dogfish","spidog",15,"both","1690"
